@cat01,@cat02,@cat03,@area,@time,@unit,$
001,001,01029,00000,1701,千人,1288
001,001,01029,00000,1801,千人,1302
001,001,01029,00000,1901,千人,1298
001,001,01030,00000,1601,千人,1261
001,001,01030,00000,1301,千人,1266
001,001,01030,00000,1701,千人,1257
001,001,01030,00000,1801,千人,1293
001,001,01030,00000,1901,千人,1309
001,001,01031,00000,1601,千人,1286
001,001,01031,00000,1301,千人,1257
001,001,01031,00000,1701,千人,1266
001,001,01031,00000,1801,千人,1262
001,001,01031,00000,1901,千人,1300
001,001,01032,00000,1601,千人,1307
001,001,01032,00000,1301,千人,1281
001,001,01032,00000,1701,千人,1257
001,001,01032,00000,1801,千人,1270
001,001,01032,00000,1901,千人,1268
001,001,01033,00000,1601,千人,1345
001,001,01033,00000,1301,千人,1302
001,001,01033,00000,1701,千人,1280
001,001,01033,00000,1801,千人,1260
001,001,01033,00000,1901,千人,1275
001,001,01034,00000,1601,千人,1379
001,001,01034,00000,1301,千人,1341
001,001,01034,00000,1701,千人,1302
001,001,01034,00000,1801,千人,1283
001,001,01034,00000,1901,千人,1265
001,001,01035,00000,1601,千人,1397
001,001,01035,00000,1301,千人,1375
001,001,01035,00000,1701,千人,1340
001,001,01035,00000,1801,千人,1304
001,001,01035,00000,1901,千人,1288
001,001,01036,00000,1601,千人,1448
001,001,01036,00000,1301,千人,1393
001,001,01036,00000,1701,千人,1374
001,001,01036,00000,1801,千人,1342
001,001,01036,00000,1901,千人,1308
001,001,01037,00000,1601,千人,1495
001,001,01037,00000,1301,千人,1444
001,001,01037,00000,1701,千人,1393
001,001,01037,00000,1801,千人,1376
001,001,01037,00000,1901,千人,1345
001,001,01038,00000,1601,千人,1514
001,001,01038,00000,1301,千人,1492
001,001,01038,00000,1701,千人,1443
001,001,01038,00000,1801,千人,1394
001,001,01038,00000,1901,千人,1378
001,001,01039,00000,1601,千人,1515
001,001,01039,00000,1301,千人,1511
001,001,01039,00000,1701,千人,1491
001,001,01039,00000,1801,千人,1444
001,001,01039,00000,1901,千人,1396
001,001,01040,00000,1601,千人,1527
001,001,01040,00000,1301,千人,1513
001,001,01040,00000,1701,千人,1510
001,001,01040,00000,1801,千人,1492
001,001,01040,00000,1901,千人,1445
001,001,01041,00000,1601,千人,1594
001,001,01041,00000,1301,千人,1524
001,001,01041,00000,1701,千人,1512
001,001,01041,00000,1801,千人,1511
001,001,01041,00000,1901,千人,1493
001,001,01042,00000,1601,千人,1633
001,001,01042,00000,1301,千人,1592
001,001,01042,00000,1701,千人,1524
001,001,01042,00000,1801,千人,1512
001,001,01042,00000,1901,千人,1512
001,001,01043,00000,1601,千人,1694
001,001,01043,00000,1301,千人,1630
001,001,01043,00000,1701,千人,1591
001,001,01043,00000,1801,千人,1523
001,001,01043,00000,1901,千人,1512
001,001,01044,00000,1601,千人,1737
001,001,01044,00000,1301,千人,1691
001,001,01044,00000,1701,千人,1629
001,001,01044,00000,1801,千人,1590
001,001,01044,00000,1901,千人,1524
001,001,01045,00000,1601,千人,1819
001,001,01045,00000,1301,千人,1735
001,001,01045,00000,1701,千人,1690
001,001,01045,00000,1801,千人,1629
001,001,01045,00000,1901,千人,1590
001,001,01046,00000,1601,千人,1893
001,001,01046,00000,1301,千人,1816
001,001,01046,00000,1701,千人,1734
001,001,01046,00000,1801,千人,1689
001,001,01046,00000,1901,千人,1629
001,001,01047,00000,1601,千人,2001
001,001,01047,00000,1301,千人,1891
001,001,01047,00000,1701,千人,1815
001,001,01047,00000,1801,千人,1733
001,001,01047,00000,1901,千人,1689
001,001,01048,00000,1601,千人,2036
001,001,01048,00000,1301,千人,1997
001,001,01048,00000,1701,千人,1889
001,001,01048,00000,1801,千人,1814
001,001,01048,00000,1901,千人,1732
001,001,01049,00000,1601,千人,1998
001,001,01049,00000,1301,千人,2032
001,001,01049,00000,1701,千人,1995
001,001,01049,00000,1801,千人,1887
001,001,01049,00000,1901,千人,1812
001,001,01050,00000,1601,千人,1940
001,001,01050,00000,1301,千人,1995
001,001,01050,00000,1701,千人,2030
001,001,01050,00000,1801,千人,1993
001,001,01050,00000,1901,千人,1885
001,001,01051,00000,1601,千人,1880
001,001,01051,00000,1301,千人,1936
001,001,01051,00000,1701,千人,1992
001,001,01051,00000,1801,千人,2026
001,001,01051,00000,1901,千人,1990
001,001,01052,00000,1601,千人,1850
001,001,01052,00000,1301,千人,1876
001,001,01052,00000,1701,千人,1933
001,001,01052,00000,1801,千人,1988
001,001,01052,00000,1901,千人,2023
001,001,01053,00000,1601,千人,1805
001,001,01053,00000,1301,千人,1846
001,001,01053,00000,1701,千人,1873
001,001,01053,00000,1801,千人,1930
001,001,01053,00000,1901,千人,1985
001,001,01054,00000,1601,千人,1799
001,001,01054,00000,1301,千人,1800
001,001,01054,00000,1701,千人,1842
001,001,01054,00000,1801,千人,1869
001,001,01054,00000,1901,千人,1926
001,001,01055,00000,1601,千人,1404
001,001,01055,00000,1301,千人,1794
001,001,01055,00000,1701,千人,1796
001,001,01055,00000,1801,千人,1837
001,001,01055,00000,1901,千人,1864
001,001,01056,00000,1601,千人,1728
001,001,01056,00000,1301,千人,1400
001,001,01056,00000,1701,千人,1789
001,001,01056,00000,1801,千人,1791
001,001,01056,00000,1901,千人,1833
001,001,01057,00000,1601,千人,1619
001,001,01057,00000,1301,千人,1723
001,001,01057,00000,1701,千人,1396
001,001,01057,00000,1801,千人,1784
001,001,01057,00000,1901,千人,1787
001,001,01058,00000,1601,千人,1576
001,001,01058,00000,1301,千人,1613
001,001,01058,00000,1701,千人,1717
001,001,01058,00000,1801,千人,1391
001,001,01058,00000,1901,千人,1778
001,001,01059,00000,1601,千人,1524
001,001,01059,00000,1301,千人,1571
001,001,01059,00000,1701,千人,1607
001,001,01059,00000,1801,千人,1711
001,001,01059,00000,1901,千人,1387
001,001,01060,00000,1601,千人,1492
001,001,01060,00000,1301,千人,1518
001,001,01060,00000,1701,千人,1565
001,001,01060,00000,1801,千人,1601
001,001,01060,00000,1901,千人,1705
001,001,01061,00000,1601,千人,1500
001,001,01061,00000,1301,千人,1486
001,001,01061,00000,1701,千人,1512
001,001,01061,00000,1801,千人,1558
001,001,01061,00000,1901,千人,1595
001,001,01062,00000,1601,千人,1524
001,001,01062,00000,1301,千人,1492
001,001,01062,00000,1701,千人,1479
001,001,01062,00000,1801,千人,1505
001,001,01062,00000,1901,千人,1551
001,001,01063,00000,1601,千人,1479
001,001,01063,00000,1301,千人,1516
001,001,01063,00000,1701,千人,1485
001,001,01063,00000,1801,千人,1471
001,001,01063,00000,1901,千人,1497
001,001,01064,00000,1601,千人,1435
001,001,01064,00000,1301,千人,1471
001,001,01064,00000,1701,千人,1508
001,001,01064,00000,1801,千人,1476
001,001,01064,00000,1901,千人,1463
001,001,01065,00000,1601,千人,1504
001,001,01065,00000,1301,千人,1426
001,001,01065,00000,1701,千人,1461
001,001,01065,00000,1801,千人,1498
001,001,01065,00000,1901,千人,1467
001,001,01066,00000,1601,千人,1546
001,001,01066,00000,1301,千人,1494
001,001,01066,00000,1701,千人,1417
001,001,01066,00000,1801,千人,1451
001,001,01066,00000,1901,千人,1487
001,001,01067,00000,1601,千人,1542
001,001,01067,00000,1301,千人,1535
001,001,01067,00000,1701,千人,1482
001,001,01067,00000,1801,千人,1405
001,001,01067,00000,1901,千人,1440
001,001,01068,00000,1601,千人,1630
001,001,01068,00000,1301,千人,1529
001,001,01068,00000,1701,千人,1522
001,001,01068,00000,1801,千人,1469
001,001,01068,00000,1901,千人,1393
001,001,01069,00000,1601,千人,1714
001,001,01069,00000,1301,千人,1615
001,001,01069,00000,1701,千人,1515
001,001,01069,00000,1801,千人,1508
001,001,01069,00000,1901,千人,1456
001,001,01070,00000,1601,千人,1804
001,001,01070,00000,1301,千人,1696
001,001,01070,00000,1701,千人,1599
001,001,01070,00000,1801,千人,1499
001,001,01070,00000,1901,千人,1492
001,001,01071,00000,1601,千人,1924
001,001,01071,00000,1301,千人,1784
001,001,01071,00000,1701,千人,1677
001,001,01071,00000,1801,千人,1580
001,001,01071,00000,1901,千人,1482
001,001,01072,00000,1601,千人,2093
001,001,01072,00000,1301,千人,1900
001,001,01072,00000,1701,千人,1762
001,001,01072,00000,1801,千人,1656
001,001,01072,00000,1901,千人,1560
001,001,01073,00000,1601,千人,2054
001,001,01073,00000,1301,千人,2065
001,001,01073,00000,1701,千人,1874
001,001,01073,00000,1801,千人,1737
001,001,01073,00000,1901,千人,1633
001,001,01074,00000,1601,千人,1930
001,001,01074,00000,1301,千人,2024
001,001,01074,00000,1701,千人,2034
001,001,01074,00000,1801,千人,1845
001,001,01074,00000,1901,千人,1710
001,001,01075,00000,1601,千人,1188
001,001,01075,00000,1301,千人,1899
001,001,01075,00000,1701,千人,1990
001,001,01075,00000,1801,千人,1999
001,001,01075,00000,1901,千人,1813
001,001,01076,00000,1601,千人,1258
001,001,01076,00000,1301,千人,1167
001,001,01076,00000,1701,千人,1864
001,001,01076,00000,1801,千人,1952
001,001,01076,00000,1901,千人,1962
001,001,01077,00000,1601,千人,1517
001,001,01077,00000,1301,千人,1233
001,001,01077,00000,1701,千人,1143
001,001,01077,00000,1801,千人,1825
001,001,01077,00000,1901,千人,1911
001,001,01078,00000,1601,千人,1444
001,001,01078,00000,1301,千人,1484
001,001,01078,00000,1701,千人,1206
001,001,01078,00000,1801,千人,1116
001,001,01078,00000,1901,千人,1784
001,001,01079,00000,1601,千人,1458
